codigo,AEROPUERTO,PAX_TOTAL,CARGA_TOTA,type,coordinates
BHI,BHI - Aeropuerto Internacional de BahÃƒÂ­a Blanca,307884.0,337.0,Point,"[-62.274038000000274, -38.725901999996886]"
BRC,BRC - Aeropuerto Internacional de San Carlos de Bariloche,1038651.0,346.0,Point,"[-71.17829299999615, -41.138227000002466]"
CRD,CRD - Aeropuerto Internacional de Comodoro Rivadavia,577480.0,626.0,Point,"[-67.63607500000305, -45.952653000002975]"
CTC,CTC- Aeropuerto de Catamarca,44894.0,131.0,Point,"[-65.7808620000036, -28.466127000000547]"
CPC,CPC - Aeropuerto de San MartÃƒÂ­n de los Andes,59484.0,0.0,Point,"[-71.15487400000413, -40.13165400000173]"
COC,COC - Aeropuerto de Concordia,1998.0,0.0,Point,"[-58.034432000001246, -31.404964999996228]"
COR,COR - Aeropuerto Internacional de CÃƒÂ³rdoba,1947798.0,1496.0,Point,"[-64.19312000000444, -31.33469800000024]"
CNQ,CNQ - Aeropuerto Internacional de Corrientes,20419.0,0.0,Point,"[-58.80420600000213, -27.463490000003084]"
CUT,CUT - Aeropuerto de Cutral CÃƒÂ³,3.0,0.0,Point,"[-69.24998300000134, -39.02349000000224]"
FTE,FTE - Aeropuerto de El Calafate,725638.0,0.0,Point,"[-72.27454399999958, -50.345069999999865]"
EQS,EQS - Aeropuerto de Esquel,45378.0,0.0,Point,"[-71.07362299999913, -42.99308200000287]"
EZE,EZE - Aeropuerto Internacional de Ezeiza,9127908.0,183954.0,Point,"[-58.533332999998954, -34.850000000002744]"
FMA,FMA - Aeropuerto Internacional de Formosa,96174.0,595.0,Point,"[-58.17725000000023, -26.182911000003955]"
GPO,GPO - Aeropuerto de General Pico,2049.0,0.0,Point,"[-63.759070999998414, -35.66704199999733]"
IGR,IGR - Aeropuerto Internacional Cataratas del IguazÃƒÂº,863165.0,88.0,Point,"[-54.426782000004415, -25.85745399999619]"
JUJ,JUJ - Aeropuerto Internacional de Jujuy,200670.0,113.0,Point,"[-65.25734000000428, -24.25192900000383]"
IRJ,IRJ - Aeropuerto de La Rioja,51690.0,104.0,Point,"[-66.82152700000016, -29.390439999996477]"
LGS,LGS - Aeropuerto Internacional de MalargÃƒÂ¼e,3242.0,0.0,Point,"[-69.5962679999982, -35.480540999999015]"
MDQ,MDQ - Aeropuerto Internacional de Mar del Plata,201289.0,89.0,Point,"[-57.566750000002855, -37.994849999996944]"
MDZ,MDZ -  Aeropuerto Internacional de Mendoza,1351552.0,1841.0,Point,"[-68.8297269999997, -32.897442000003565]"
NEC,NEC - Aeropuerto de Necochea,893.0,0.0,Point,"[-58.74543000000092, -38.56232799999833]"
NQN,NQN - Aeropuerto Internacional de NeuquÃƒÂ©n,774356.0,1328.0,Point,"[-68.26413800000218, -38.837594000003136]"
PRA,PRA - Aeropuerto de ParanÃƒÂ¡,38743.0,11.0,Point,"[-60.483846000002, -31.759209000000496]"
AOL,AOL - Aeropuerto Internacional de Paso de los Libres,59.0,0.0,Point,"[-57.135666000004, -29.68791600000238]"
PSS,PSS - Aeropuerto Internacional de Posadas,178864.0,360.0,Point,"[-55.97357200000327, -27.389104000002515]"
PMY,PMY - Aeropuerto de Puerto Madryn,49714.0,182.0,Point,"[-65.03690300000426, -42.776858999998936]"
RCQ,RCQ - Aeropuerto de Reconquista,2825.0,0.0,Point,"[-59.64681999999958, -29.144149999998998]"
RES,RES - Aeropuerto Internacional de Resistencia,262460.0,612.0,Point,"[-59.035674999998285, -27.46562199999925]"
RCU,RCU - Aeropuerto de RÃƒÂ­o Cuarto,1067.0,0.0,Point,"[-64.35900100000192, -33.17293799999917]"
RGL,RGL - Aeropuerto Internacional de RÃƒÂ­o Gallegos,302504.0,547.0,Point,"[-69.3077409999992, -51.66338899999729]"
RGA,RGA - Aeropuerto Internacional de RÃƒÂ­o Grande,164810.0,516.0,Point,"[-67.71674300000024, -53.81479199999893]"
RYO,RYO - Aeropuerto de El Turbio /  28 de Noviembre,821.0,0.0,Point,"[-72.19002799999855, -51.6114600000017]"
ROS,ROS - Aeropuerto Internacional de Rosario,377559.0,224.0,Point,"[-60.673007999998084, -32.95722299999623]"
SLA,SLA - Aeropuerto Internacional de Salta,856484.0,1348.0,Point,"[-65.47198500000138, -24.824953000003028]"
UAQ,UAQ - Aeropuerto de San Juan,190964.0,412.0,Point,"[-68.37434300000332, -31.585332999997927]"
LUQ,LUQ - Aeropuerto de San Luis,65243.0,42.0,Point,"[-66.34751099999895, -33.31584899999979]"
AFA,AFA - Aeropuerto de San Rafael,47403.0,0.0,Point,"[-68.33624299999636, -34.61948000000126]"
SFN,SFN - Aeropuerto de Santa Fe,79642.0,0.0,Point,"[-60.79098599999978, -31.67509200000384]"
RSA,RSA - Aeropuerto de Santa Rosa,40174.0,10.0,Point,"[-64.26775300000108, -36.60378300000113]"
SST,SST - Aeropuerto de Santa Teresita,143.0,0.0,Point,"[-56.69566000000387, -36.551510000002274]"
SDE,SDE - Aeropuerto de Santiago del Estero,68359.0,143.0,Point,"[-64.29520400000318, -27.77827200000317]"
TDL,TDL - Aeropuerto de Tandil,2125.0,0.0,Point,"[-59.14160900000103, -37.32480999999845]"
TTG,TTG - Aeropuerto de Tartagal,1270.0,0.0,Point,"[-63.81121099999876, -22.55209900000116]"
RHD,RHD - Aeropuerto Internacional Termas de RÃƒÂ­o Hondo,20276.0,13.0,Point,"[-64.85448700000018, -27.50187699999739]"
REL,REL - Aeropuerto Internacional de Trelew,254485.0,360.0,Point,"[-65.32276599999852, -43.143372000000575]"
TUC,TUC - Aeropuerto Internacional de TucumÃƒÂ¡n,600776.0,5166.0,Point,"[-65.21427199999964, -26.82947900000304]"
USH,USH - Aeropuerto Internacional de Ushuiaia,686125.0,729.0,Point,"[-68.2824630000041, -54.81994900000092]"
VDM,VDM - Aeropuerto de Viedma,34722.0,0.0,Point,"[-62.97526299999567, -40.86364699999684]"
VLG,VLG - Aeropuerto de Villa Gesell,1925.0,0.0,Point,"[-56.97459599999567, -37.24835899999651]"
VME,VME - Aeropuerto de Villa Mercedes,1404.0,0.0,Point,"[-65.46547700000212, -33.690102000001154]"
AEP,AEP - Aeroparque Internacional Jorge Newbery,10825986.0,2244.0,Point,"[-58.41638854730213, -34.55888647183972]"
FDO,FDO - Aeropuerto Internacional de San Fernando,45890.0,4.0,Point,"[-58.59138968115465, -34.45499477376623]"
GNR,GNR - Aeropuerto de General Roca,831.0,0.0,Point,"[-67.61972222222222, -39.0]"
JNI,JNI - Aeropuerto de JunÃƒÂ­n,23.0,0.0,Point,"[-60.93438292979837, -34.54108761733473]"
LPG,LPG -  Aeropuerto de La Plata,1527.0,0.0,Point,"[-57.893055555555556, -34.969127712823365]"
